,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.795,0.8322147651006712,0.8857142857142857,0.8581314878892734,0.7345238095238095
decision_tree,0.7,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6428571428571428
random_forest,0.79,0.7916666666666666,0.95,0.8636363636363636,0.6833333333333333
